attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
humanInfluenceClass,DU,,DU,Dump (not specified),Human Influence on landsacpe affected by unspecified dumpings,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,VM,,VM,Vegetation moderately disturbed,Human Influence on landsacpe affected by moderately disturbed vegetation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,ID,,ID,Drip irrigation,Human Influence on landsacpe affected by drip irrigation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IF,,IF,Furrow irrigation,Human Influence on landsacpe affected by furrow irrigation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MI,,MI,"Mine (surface, including openpit, gravel and quarries)","Human Influence on landsacpe affected by mining activities e.g. surface mining, openpit mining, gravel and quarries",,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MS,,MS,Sand additions,Human Influence on landsacpe affected by sand additions,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,VU,,VU,Vegetation disturbed (not specified),Human Influence on landsacpe affected by unspecified disturbed vegitation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,PO,,PO,Pollution,Human Influence on landsacpe affected by pollution,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MR,,MR,Raised beds (agricultural purposes),Human Influence on landsacpe affected by raised bed due to agricultural activity,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,TE,,TE,Terracing,Human Influence on landsacpe affected by terracing,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,NK,,NK,Not known,Human Influence on landsacpe affected by unkown reasons,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,ME,,ME,Raised beds (engineering purposes),Human Influence on landsacpe affected by engineering activites like raised beds,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,AD,,AD,Artificial drainage,Human Influence on landsacpe affected by artificial drainage,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,LF,,LF,Landfill (also sanitary),Human Influence on landsacpe affected by sanitary activities like landfills,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IS,,IS,Sprinkler irrigation,Human Influence on landsacpe affected by sprinkler irrigation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,VS,,VS,Vegetation slightly disturbed,Human Influence on landsacpe affected by slightly disturbed vegetation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,LV,,LV,Levelling,Human Influence on landsacpe affected by levelling,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,BR,,BR,Burning,Human Influence on landsacpe affected by burning,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IB,,IB,Border irrigation,Human Influence on landsacpe affected by border irrigation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MU,,MU,Mineral additions (not specified),Human Influence on landsacpe affected by unspecified addition of minerals,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,BU,,BU,Bunding,Human Influence on landsacpe affected by bunding,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IP,,IP,Flood irrigation,Human Influence on landsacpe affected by flood irrigation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IU,,IU,Irrigation (not specified),Human Influence on landsacpe affected by unspecified irrgation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MO,,MO,Organic additions (not specified),Human Influence on landsacpe affected by unspecified Organic additions,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MP,,MP,Plaggen,Human Influence on landsacpe affected by plaggen,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,SC,,SC,Surface compaction,Human Influence on landsacpe affected by surface compaction,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,FE,,FE,Application of fertilizers,Human Influence on landsacpe affected by application of fertilizers,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,VE,,VE,Vegetation strongly disturbed,Human Influence on landsacpe affected by strongly disturbed vegetation,,,False,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
slopeForm,T,,T,terraced,terraced slope form,,,False,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
slopeForm,S,,S,straight,straight slope form,,,False,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
slopeForm,X,,X,complex (irregular),complex (irregular) slope form,,,False,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
slopeForm,C,,C,concave,concave slope form,,,False,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
slopeForm,V,,V,convex,convex slope form,,,False,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
contrast,D,,D,Distinct,"Although not striking, the mottles are readily seen. The hue, chroma and value of the matrix are easily distinguished from those of the mottles. They may vary by as much as 2.5 units of hue or several units in chroma or value.",,,False,The colour contrast between mottles and soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 34,,,
contrast,F,,F,Faint,"The mottles are evident only on close examination. Soil colours in both the matrix and mottles have closely related hues, chromas and values.",,,False,The colour contrast between mottles and soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 34,,,
contrast,P,,P,Prominent,"The mottles are conspicuous and mottling is one of the outstanding features of the horizon. Hue, chroma and value alone or in combination are at least several units apart.",,,False,The colour contrast between mottles and soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 34,,,
rockShape,A,,A,Angular,Angular rock shape,,,False,The general shape or roundness of rock fragments. See more on Guidelines for Soil Description issued by the FAO: table 28,,,
rockShape,S,,S,Subrounded,Subrounded rock shape,,,False,The general shape or roundness of rock fragments. See more on Guidelines for Soil Description issued by the FAO: table 28,,,
rockShape,R,,R,Rounded,Rounded rock shape,,,False,The general shape or roundness of rock fragments. See more on Guidelines for Soil Description issued by the FAO: table 28,,,
rockShape,F,,F,Flat,Flat rock shape,,,False,The general shape or roundness of rock fragments. See more on Guidelines for Soil Description issued by the FAO: table 28,,,
landUseClass,S,,S,"S = Settlement, industry","Land-use classification of main class Settlement, industry",,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT2,AT,AT2,Irrigated tree crop cultivation,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping and of type Irrigated tree crop cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,H,,H,Animal husbandry,Land-use classification of main class Animal husbandry,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PD,P,PD,Degradation control,Land-use classification of main class Nature protection and of subclass Degradation control,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA1,AA,AA1,Shifting cultivation,Land-use classification of main class Crop agriculture and of subclass Annual field cropping and of type Shifting cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PN,P,PN,Nature and game preservation,Land-use classification of main class Nature protection and of subclass Nature and game preservation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,MP,M,MP,Agropastoralism,Land-use classification of main class Mixed farming and of subclass Agropastoralism,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,U,,U,Not used and not managed,Land-use classification of main class Not used and not managed,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT3,AT,AT3,Non-irrigated shrub crop cultivation,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping and of type Non-irrigated shrub crop cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA,A,AA,Annual field cropping,Land-use classification of main class Crop agriculture and of subclass Annual field cropping,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HE3,HE,HE3,Ranching,Land-use classification of main class Animal husbandry and of subclass Extensive grazing and of type Ranching,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,FN1,FN,FN1,Selective felling,Land-use classification of main class Forestry and of subclass Natural forest and woodland and of type Selective felling,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SD,S,SD,Disposal sites,"Land-use classification of main class Settlement, industry and of subclass Disposal sites",,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SC,S,SC,Recreational use,"Land-use classification of main class Settlement, industry and of subclass Recreational use",,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HE1,HE,HE1,Nomadism,Land-use classification of main class Animal husbandry and of subclass Extensive grazing and of type Nomadism,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AP1,AP,AP1,Non-irrigated cultivation,Land-use classification of main class Crop agriculture and of subclass Perennial field cropping and of type Non-irrigated cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,Y,,Y,Military area,Land-use classification of main class Military area,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA2,AA,AA2,Fallow system cultivation,Land-use classification of main class Crop agriculture and of sub-class Annual field cropping and of type Fallow system cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HI1,HI,HI1,Animal production,Land-use classification of main class Animal husbandry and of subclass Intensive grazing and of type Animal production,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,MF,M,MF,Agroforestry,Land-use classification of main class Mixed farming and of subclass Agroforestry,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT4,AT,AT4,Irrigated shrub crop cultivation,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping and of type Irrigated shrub crop cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HE,H,HE,Extensive grazing,Land-use classification of main class Animal husbandry and of subclass Extensive grazing,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,FP,F,FP,Plantation forestry,Land-use classification of main class Forestry and of subclass Plantation forestry,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA4,AA,AA4,Rainfed arable cultivation,Land-use classification of main class Crop agriculture and of subclass Annual field cropping and of type Rainfed arable cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,FN2,FN,FN2,Clear felling,Land-use classification of main class Forestry and of subclass Natural forest and woodland and of type Clear felling,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT1,AT,AT1,Non-irrigated tree crop cultivation,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping and of type Non-irrigated shrub crop cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,A,,A,Crop agriculture (cropping),Land-use classification of main class Crop agriculture (cropping),,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PN1,PN,PN1,Reserves,Land-use classification of main class Nature protection and of subclass Nature and game preservationand of type Reserves,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HI2,HI,HI2,Dairying,Land-use classification of main class Animal husbandry and of subclass Intensive grazing and of type Dairying,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,Oi,,O,Other land uses,Land-use classification of main class Other land uses,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT,A,AT,Tree and shrub cropping,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AP2,AP,AP2,Irrigated cultivation,Land-use classification of main class Crop agriculture and of subclass Perennial field cropping and of type Irrigated cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA5,AA,AA5,Wet rice cultivation,Land-use classification of mainclass Crop agriculture and of class Annual field cropping and of type Wet rice cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PD1,PD,PD1,Without interference,Land-use classification of main class Nature protection and of subclass Degradation control and of type Without interference,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PN2,PN,PN2,Parks,Land-use classification of main class Nature protection and of subclass Nature and game preservation and of type Parks,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA3,AA,AA3,Ley system cultivation,Land-use classification of main class Crop agriculture and of subclass Annual field cropping and of type Ley system cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SR,S,SR,Residential use,Land-use classification of main class Settlement or industry and of subclass Residential use,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,ST,S,ST,Transport,"Land-use classification of main class Settlement, industry and of subclass Transport",,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,M,,M,M = Mixed farming,Land-use classification of main class Mixed farming,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PD2,PD,PD2,With interference,Land-use classification of main class Nature protection and of subclass Degradation control and of type With interference,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA6,AA,AA6,Irrigated cultivation,Land-use classification of main class Crop agriculture and of subclass Annual field cropping and of type Irrigated cultivation,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,F,,F,F = Forestry,Land-use classification of main class Forestry,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SI,S,SI,Industrial use,"Land-use classification of main class Settlement, industry and of subclass Industrial use",,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,FN,F,FN,Natural forest and woodland,Land-use classification of main class Forestry and of subclass Natural forest and woodland,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HE2,HE,HE2,Semi-nomadism,Land-use classification of main class Animal husbandry and of subclass Extensive grazing and of type Semi-nomadism,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PN3,PN,PN3,Wildlife management,Land-use classification of main class Nature protection and of subclass Nature and game preservation and of type Wildlife management,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AP,A,AP,Perennial field cropping,Land-use classification of main class Crop agriculture and of subclass Perennial field cropping,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HI,H,HI,Intensive grazing,Land-use classification of main class Animal husbandry and of subclass Intensive grazing,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SX,S,SX,Excavations,"Land-use classification of main class Settlement, industry and of subclass Excavations",,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,P,,P,P = Nature protection,Land-use classification of main class Nature protection,,,False,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
structureSize,VC,,VC,Very coarse/thick,> 10 1.1.000 > 50,,,False,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,ME,,ME,Medium,2–5 20–50 10–20,,,False,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,FI,,FI,Fine/thin,1–2 10–20 5–10,,,False,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,VF,,VF,Very fine/thin,< 1 < 10 < 5,,,False,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,CO,,CO,Coarse/thick,5–10 50–100 20–50,,,False,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
structureSize,EC,,EC,Extremely coarse,– > 500 –,,,False,Size classes for soil structure types. See more in guidelines for Soil Description issued by the FAO: table 50,,,
physioChemical,Alusat,,Alusat,Aluminium (Al) saturation,Measure to describe the relative abundance of alumium in the soil. It is the percentage of the CEC occupied by aluminium,,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
physioChemical,Mandit,,Mandit,Manganese (Mn) - dithionite extractable,"'Free' manganese content extracted from amorphous compounds (weathering products) as well as crystaline, primary aluminium compounds (parent material) in the soil.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,23930,PWHULOQIROXLJO-UHFFFAOYSA-N,1S/Mn
physioChemical,Irodit,,Irodit,Iron (Fe) - dithionite extractable,"'Free' iron content extracted from amorphous compounds (weathering products) as well as crystaline, primary aluminium compounds (parent material) in the soil.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,23925,XEEYBQQBJWHFJM-UHFFFAOYSA-N,1S/Fe
physioChemical,Aluext,,Aluext,Aluminium (Al) extractable,Aluminium bound to the soil matrix but that can be released into the soil solution (i.e. become bio-available),,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
physioChemical,Gyp,,Gyp,Gypsum content - weight,"The gypsum content, expressed as weight, refers to the soil’s calcium sulfate levels. Gypsum improves soil structure, alleviates sodicity, and enhances water infiltration. It is commonly applied to saline-sodic soils for reclamation. Source: FAO Soil Bulletin.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,24497,,
physioChemical,Pottot,,Pottot,Potassium (K) - total,"Total potassium includes all forms of potassium in soil, such as mineral-bound, exchangeable, and water-soluble potassium. It plays a vital role in plant growth by regulating water balance, enzyme activation, and photosynthesis. While only a fraction of total potassium is readily available to plants, it serves as a reserve to replenish exchangeable potassium over time. Adequate potassium levels improve crop yield, quality, and resistance to stress. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5462222,ZLMJMSJWJFRBEC-UHFFFAOYSA-N,1S/K
physioChemical,Photot,,Photot,Phosphorus (P) - total,"Total phosphorus includes all forms of phosphorus in the soil, both organic and inorganic. While only a fraction is plant-available, total phosphorus serves as a long-term reserve for crop nutrition. Adequate phosphorus levels are crucial for energy transfer, photosynthesis, and root development in plants. Source: Soil Chemistry by Bohn et al.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5462309,OAICVXFJPJFONN-UHFFFAOYSA-N,1S/P
physioChemical,Basexc,,Basexc,Bases - exchangeable,"Exchangeable bases refer to the cations (e.g., calcium, magnesium, potassium, and sodium) adsorbed onto soil colloids, which can readily exchange with soil solution ions. These cations are crucial for maintaining soil fertility, affecting nutrient availability and pH buffering capacity. High exchangeable base levels indicate fertile soil conducive to plant growth. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,,,
physioChemical,Bassum,,Bassum,Base saturation - sum of cations,"Base saturation calculated as the sum of cations represents the proportion of the cation exchange capacity (CEC) occupied by essential base cations like calcium, magnesium, potassium, and sodium. It provides insight into the soil's fertility status and its ability to resist acidification. Source: Soil Science Society of America.",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,,,
physioChemical,Aluoxa,,Aluoxa,Aluminium (Al) - oxalate extractable,'Active' aluminium content extracted from amorphous aluminium compounds that are the products of the weathering of primary soil particles,,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,5359268,XAGFODPZIPBFFR-UHFFFAOYSA-N,1S/Al
physioChemical,CaN,,CaN,Carbon/Nitrogen (C/N) ratio,"The C/N ratio represents the proportion of carbon to nitrogen in organic matter. It influences decomposition rates and nutrient availability. A lower C/N ratio promotes rapid organic matter breakdown and nitrogen release, while a high ratio may lead to nitrogen immobilization, affecting plant growth. Source: Brady & Weil (2017).",,,False,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3;ISRIC Report 2014/01: Africa Soil Profiles Database Version 1.2. Annex 3a,,,
