collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
consistenceDry,SHA,,SHA,Slightly hard,"“Weakly resistant to pressure,  easily broken between thumb and forefinger.”",,,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
consistenceDry,EHA,,EHA,Extremely hard,"“Extremely resistant to pressure,  cannot be broken in the hands.”",,,The consistence when dry is determined by breaking an air-dried mass of soil between thumb and forefinger or in the hand. See more in the guidelines for Soil Description issued by the FAO: table 53,,,
organicMatterClass,,,,,,,,"Refers to the categorization or classification of soil based on the quality, quantity, and composition of organic matter present, influencing soil properties such as fertility, water retention, and microbial activity. Source: Source: FAO, Soil Organic Matter and Soil Health, Land and Water Development Division.",,,
coatingLocation,LA,,LA,Lamellae (clay bands),Location of coatings and clay accumulation in the form of Lamellae (clay bands),,,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,PH,,PH,Horizontal pedfaces,Location of coatings and clay accumulation in the form of horizontal pedfaces,,,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,PV,,PV,Vertical pedfaces,Location of coatings and clay accumulation in the form of vertical pedfaces,,,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,BR,,BR,Bridges between sand grains,Location of coatings and clay accumulation in the form of bridges between sand grains,,,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,CF,,CF,Coarse fragments,Location of coatings and clay accumulation in the form of coarse fragments,,,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,P,,P,Pedfaces,Location of coatings and clay accumulation in the form of Pedfaces,,,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,VO,,VO,Voids,Location of coatings and clay accumulation in the form of voids,,,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
coatingLocation,NS,,NS,No specific location,No specific location of coatings and clay accumulation,,,Classification of the location of coatings and clay accumulation. See more in Guidelines for Soil Description issued by the FAO: table 68,,,
mineralConcColour,BS,,BS,Brownish,Mineral concentration of color code Brownish,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,RY,,RY,Reddish yellow,Mineral concentration of color code Reddish yellow,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,BL,,BL,Black,Mineral concentration of color code Black,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,WH,,WH,White,Mineral concentration of color code White,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,YR,,YR,Yellowish red,Mineral concentration of color code Yellowish red,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,GS,,GS,Greyish,Mineral concentration of color code Greyish,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,YB,,YB,Yellowish brown,Mineral concentration of color code Yellowish brown,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,BB,,BB,Bluish-black,Mineral concentration of color code Bluish-black,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,MC,,MC,Multicoloured,Mineral concentration of color code Multicoloured,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,GR,,GR,Grey,Mineral concentration of color code Grey,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,GE,,GE,Greenish,Mineral concentration of color code Greenish,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,RS,,RS,Reddish,Mineral concentration of color code Reddish,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,RB,,RB,Reddish brown,Mineral concentration of color code Reddish brown,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,BR,,BR,Brown,Mineral concentration of color code Brown,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,BU,,BU,Blue,Mineral concentration of color code Blue,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,RE,,RE,Red,Mineral concentration of color code Red,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
mineralConcColour,YE,,YE,Yellow,Mineral concentration of color code Yellow,,,The general colour names are usually sufficient to describe the colour of the nodules (similar to mottles) or of artefacts. See more in Guidelines for Soil Description issued by the FAO: table 78,,,
coatingForm,O,,O,Other,Other kind of form coatings,,,Classification of the form of coatings. See more in Guidelines for Soil Description issued by the FAO: table 67,,,
coatingForm,DI,,DI,Discontinuous irregular,Discontinuous irregular form coatings,,,Classification of the form of coatings. See more in Guidelines for Soil Description issued by the FAO: table 67,,,
coatingForm,DC,,DC,Discontinuous circular,Discontinuous circular form coatings,,,Classification of the form of coatings. See more in Guidelines for Soil Description issued by the FAO: table 67,,,
coatingForm,CI,,CI,"Continuous irregular (non-uniform, heterogeneous)","Continuous irregular (non-uniform, heterogeneous)form coatings",,,Classification of the form of coatings. See more in Guidelines for Soil Description issued by the FAO: table 67,,,
coatingForm,C,,C,Continuous,Continuous form coatings,,,Classification of the form of coatings. See more in Guidelines for Soil Description issued by the FAO: table 67,,,
coatingForm,DE,,DE,Dendroidal,Dendroidal form coatings,,,Classification of the form of coatings. See more in Guidelines for Soil Description issued by the FAO: table 67,,,
gypsumForms,SC,,SC,soft concretions,Secondary gypsum in the form of soft concretions,,,The forms of secondary gypsum in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more information in the Guidelines for Soil Description issued by the FAO: table 41,,,
gypsumForms,D,,D,disperse powdery gypsum,Secondary gypson in the form of disperse powdery gypsum,,,The forms of secondary gypsum in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more information in the Guidelines for Soil Description issued by the FAO: table 41,,,
gypsumForms,HL,,HL,hard cemented layer or layers of gypsum,Secondary gypson in the form of hard cemented layer or layers of gypsum less than 10 cm thick,,,The forms of secondary gypsum in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more information in the Guidelines for Soil Description issued by the FAO: table 41,,,
gypsumForms,G,,G,gazha,Secondary gypson in the form of gazha (clayey water-saturated layer with high gypsum content),,,The forms of secondary gypsum in soils are diverse and are considered to be informative for diagnostics of soil genesis. See more information in the Guidelines for Soil Description issued by the FAO: table 41,,,
humanInfluenceClass,SA,,SA,Scalped area,Human Influence on landsacpe affected by scalped area,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,AC,,AC,"Archaeological (burial mound, midden)","Human Influence on landsacpe affected by archeological activities i.e burial mound, midden etc",,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,N,,N,No influence,No visible human influence on landscape,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,CR,,CR,Impact crater,Human Influence on landsacpe affected by impact factors,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,BP,,BP,Borrow pit,Human Influence on landsacpe affected by borrow pit,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,CL,,CL,Clearing,Human Influence on landsacpe affected by clearing,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,PL,,PL,Ploughing,Human Influence on landsacpe affected by ploughing,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,DU,,DU,Dump (not specified),Human Influence on landsacpe affected by unspecified dumpings,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,VM,,VM,Vegetation moderately disturbed,Human Influence on landsacpe affected by moderately disturbed vegetation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,ID,,ID,Drip irrigation,Human Influence on landsacpe affected by drip irrigation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IF,,IF,Furrow irrigation,Human Influence on landsacpe affected by furrow irrigation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MI,,MI,"Mine (surface, including openpit, gravel and quarries)","Human Influence on landsacpe affected by mining activities e.g. surface mining, openpit mining, gravel and quarries",,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MS,,MS,Sand additions,Human Influence on landsacpe affected by sand additions,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,VU,,VU,Vegetation disturbed (not specified),Human Influence on landsacpe affected by unspecified disturbed vegitation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,PO,,PO,Pollution,Human Influence on landsacpe affected by pollution,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MR,,MR,Raised beds (agricultural purposes),Human Influence on landsacpe affected by raised bed due to agricultural activity,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,TE,,TE,Terracing,Human Influence on landsacpe affected by terracing,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,NK,,NK,Not known,Human Influence on landsacpe affected by unkown reasons,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,ME,,ME,Raised beds (engineering purposes),Human Influence on landsacpe affected by engineering activites like raised beds,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,AD,,AD,Artificial drainage,Human Influence on landsacpe affected by artificial drainage,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,LF,,LF,Landfill (also sanitary),Human Influence on landsacpe affected by sanitary activities like landfills,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IS,,IS,Sprinkler irrigation,Human Influence on landsacpe affected by sprinkler irrigation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,VS,,VS,Vegetation slightly disturbed,Human Influence on landsacpe affected by slightly disturbed vegetation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,LV,,LV,Levelling,Human Influence on landsacpe affected by levelling,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,BR,,BR,Burning,Human Influence on landsacpe affected by burning,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IB,,IB,Border irrigation,Human Influence on landsacpe affected by border irrigation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MU,,MU,Mineral additions (not specified),Human Influence on landsacpe affected by unspecified addition of minerals,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,BU,,BU,Bunding,Human Influence on landsacpe affected by bunding,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IP,,IP,Flood irrigation,Human Influence on landsacpe affected by flood irrigation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,IU,,IU,Irrigation (not specified),Human Influence on landsacpe affected by unspecified irrgation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MO,,MO,Organic additions (not specified),Human Influence on landsacpe affected by unspecified Organic additions,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,MP,,MP,Plaggen,Human Influence on landsacpe affected by plaggen,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,SC,,SC,Surface compaction,Human Influence on landsacpe affected by surface compaction,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,FE,,FE,Application of fertilizers,Human Influence on landsacpe affected by application of fertilizers,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
humanInfluenceClass,VE,,VE,Vegetation strongly disturbed,Human Influence on landsacpe affected by strongly disturbed vegetation,,,This item refers to any evidence of human activity that is likely to have affected the landscape or the physical and chemical properties of the soil. See more in the Guidelines for Soil Description issued by the FAO: table 10,,,
slopeForm,T,,T,terraced,terraced slope form,,,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
slopeForm,S,,S,straight,straight slope form,,,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
slopeForm,X,,X,complex (irregular),complex (irregular) slope form,,,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
slopeForm,C,,C,concave,concave slope form,,,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
slopeForm,V,,V,convex,convex slope form,,,The slope form refers to the general shape of the slope in both the vertical and horizontal directions. See more in Guidelines for Soil Description issued by the FAO: table 6,,,
contrast,D,,D,Distinct,"Although not striking, the mottles are readily seen. The hue, chroma and value of the matrix are easily distinguished from those of the mottles. They may vary by as much as 2.5 units of hue or several units in chroma or value.",,,The colour contrast between mottles and soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 34,,,
contrast,F,,F,Faint,"The mottles are evident only on close examination. Soil colours in both the matrix and mottles have closely related hues, chromas and values.",,,The colour contrast between mottles and soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 34,,,
contrast,P,,P,Prominent,"The mottles are conspicuous and mottling is one of the outstanding features of the horizon. Hue, chroma and value alone or in combination are at least several units apart.",,,The colour contrast between mottles and soil matrix. See more in Guidelines for Soil Description issued by the FAO: table 34,,,
rockShape,A,,A,Angular,Angular rock shape,,,The general shape or roundness of rock fragments. See more on Guidelines for Soil Description issued by the FAO: table 28,,,
rockShape,S,,S,Subrounded,Subrounded rock shape,,,The general shape or roundness of rock fragments. See more on Guidelines for Soil Description issued by the FAO: table 28,,,
rockShape,R,,R,Rounded,Rounded rock shape,,,The general shape or roundness of rock fragments. See more on Guidelines for Soil Description issued by the FAO: table 28,,,
rockShape,F,,F,Flat,Flat rock shape,,,The general shape or roundness of rock fragments. See more on Guidelines for Soil Description issued by the FAO: table 28,,,
landUseClass,S,,S,"S = Settlement, industry","Land-use classification of main class Settlement, industry",,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT2,AT,AT2,Irrigated tree crop cultivation,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping and of type Irrigated tree crop cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,H,,H,Animal husbandry,Land-use classification of main class Animal husbandry,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PD,P,PD,Degradation control,Land-use classification of main class Nature protection and of subclass Degradation control,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA1,AA,AA1,Shifting cultivation,Land-use classification of main class Crop agriculture and of subclass Annual field cropping and of type Shifting cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PN,P,PN,Nature and game preservation,Land-use classification of main class Nature protection and of subclass Nature and game preservation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,MP,M,MP,Agropastoralism,Land-use classification of main class Mixed farming and of subclass Agropastoralism,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,U,,U,Not used and not managed,Land-use classification of main class Not used and not managed,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT3,AT,AT3,Non-irrigated shrub crop cultivation,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping and of type Non-irrigated shrub crop cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA,A,AA,Annual field cropping,Land-use classification of main class Crop agriculture and of subclass Annual field cropping,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HE3,HE,HE3,Ranching,Land-use classification of main class Animal husbandry and of subclass Extensive grazing and of type Ranching,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,FN1,FN,FN1,Selective felling,Land-use classification of main class Forestry and of subclass Natural forest and woodland and of type Selective felling,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SD,S,SD,Disposal sites,"Land-use classification of main class Settlement, industry and of subclass Disposal sites",,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SC,S,SC,Recreational use,"Land-use classification of main class Settlement, industry and of subclass Recreational use",,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HE1,HE,HE1,Nomadism,Land-use classification of main class Animal husbandry and of subclass Extensive grazing and of type Nomadism,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AP1,AP,AP1,Non-irrigated cultivation,Land-use classification of main class Crop agriculture and of subclass Perennial field cropping and of type Non-irrigated cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,Y,,Y,Military area,Land-use classification of main class Military area,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA2,AA,AA2,Fallow system cultivation,Land-use classification of main class Crop agriculture and of sub-class Annual field cropping and of type Fallow system cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HI1,HI,HI1,Animal production,Land-use classification of main class Animal husbandry and of subclass Intensive grazing and of type Animal production,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,MF,M,MF,Agroforestry,Land-use classification of main class Mixed farming and of subclass Agroforestry,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT4,AT,AT4,Irrigated shrub crop cultivation,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping and of type Irrigated shrub crop cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HE,H,HE,Extensive grazing,Land-use classification of main class Animal husbandry and of subclass Extensive grazing,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,FP,F,FP,Plantation forestry,Land-use classification of main class Forestry and of subclass Plantation forestry,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA4,AA,AA4,Rainfed arable cultivation,Land-use classification of main class Crop agriculture and of subclass Annual field cropping and of type Rainfed arable cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,FN2,FN,FN2,Clear felling,Land-use classification of main class Forestry and of subclass Natural forest and woodland and of type Clear felling,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT1,AT,AT1,Non-irrigated tree crop cultivation,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping and of type Non-irrigated shrub crop cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,A,,A,Crop agriculture (cropping),Land-use classification of main class Crop agriculture (cropping),,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PN1,PN,PN1,Reserves,Land-use classification of main class Nature protection and of subclass Nature and game preservationand of type Reserves,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,HI2,HI,HI2,Dairying,Land-use classification of main class Animal husbandry and of subclass Intensive grazing and of type Dairying,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,Oi,,O,Other land uses,Land-use classification of main class Other land uses,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AT,A,AT,Tree and shrub cropping,Land-use classification of main class Crop agriculture and of subclass Tree and shrub cropping,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AP2,AP,AP2,Irrigated cultivation,Land-use classification of main class Crop agriculture and of subclass Perennial field cropping and of type Irrigated cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA5,AA,AA5,Wet rice cultivation,Land-use classification of mainclass Crop agriculture and of class Annual field cropping and of type Wet rice cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PD1,PD,PD1,Without interference,Land-use classification of main class Nature protection and of subclass Degradation control and of type Without interference,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,PN2,PN,PN2,Parks,Land-use classification of main class Nature protection and of subclass Nature and game preservation and of type Parks,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,AA3,AA,AA3,Ley system cultivation,Land-use classification of main class Crop agriculture and of subclass Annual field cropping and of type Ley system cultivation,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,SR,S,SR,Residential use,Land-use classification of main class Settlement or industry and of subclass Residential use,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,ST,S,ST,Transport,"Land-use classification of main class Settlement, industry and of subclass Transport",,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
landUseClass,M,,M,M = Mixed farming,Land-use classification of main class Mixed farming,,,"Land use applies to the current use of the land, whether agricultural or nonagricultural, in which the soil is located. See more in the guidelines for Soil Description issued by the FAO: table 8",,,
